what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1300997815654
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1300997815672
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997816548
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1300997821224
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1300997821321
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1300997821757
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1300997821775
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1300997821812
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1300997822002
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1300997822004
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997824357
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1300997824673
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1300997824679
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997827114
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997850771
